truck,stop,offload,start
1,0,,
1,5,1500,3:41
1,17,4000,18:35
1,47,11900,23:04
1,0,,
2,0,,
2,10,2000,10:03
2,19,14750,15:51
2,33,3250,20:45
2,0,,
3,0,,
3,50,3500,0:21
3,49,7500,6:32
3,2,3250,13:54
3,27,2500,20:02
3,36,2000,21:10
3,0,,
4,0,,
4,21,10000,2:04
4,4,10000,21:39
4,0,,
5,0,,
5,31,8250,5:37
5,3,5500,19:28
5,48,4000,20:38
5,0,,
6,0,,
6,35,1500,9:29
6,11,2500,10:01
6,34,1250,12:44
6,18,13250,17:21
6,0,,
7,0,,
7,8,13750,6:47
7,38,5000,17:25
7,0,,
8,0,,
8,29,14000,9:38
8,14,4500,18:04
8,0,,
11,0,,
11,7,750,12:15
11,15,9750,13:03
11,43,8250,22:01
11,0,,
12,0,,
12,6,3250,7:53
12,44,6500,14:35
12,32,10000,18:10
12,0,,
13,0,,
13,1,2500,2:07
13,37,5750,7:40
13,9,2000,18:53
13,39,8750,22:49
13,0,,
14,0,,
14,26,20000,2:00
14,0,,
15,0,,
15,42,13250,3:46
15,4,5500,21:39
15,0,,
16,0,,
16,47,20000,23:07
16,0,,
17,0,,
17,16,750,0:23
17,45,9500,9:57
17,30,3250,17:58
17,32,5000,18:44
17,0,,
18,0,,
18,25,14250,11:00
18,20,100,18:06
18,47,5000,22:58
18,0,,
19,0,,
19,23,6500,6:20
19,41,6750,15:59
19,38,5000,17:25
19,0,,
20,0,,
20,26,800,1:39
20,40,13500,2:48
20,38,5000,17:25
20,0,,
21,0,,
21,26,5000,1:39
21,38,3750,17:25
21,28,3750,21:17
21,24,6750,21:38
21,0,,
22,0,,
22,12,3250,4:59
22,46,3500,6:43
22,13,6250,8:14
22,22,4750,16:58
22,0,,
