truck,stop,offload,start
1,0,,
1,21,10000,
1,4,10000,
1,0,,
2,0,,
2,47,20000,
2,0,,
3,0,,
3,7,750,
3,14,4500,
3,29,14000,
3,0,,
4,0,,
4,4,5500,
4,42,13250,
4,0,,
5,0,,
5,18,3250,
5,11,2500,
5,19,10000,
5,17,4000,
5,0,,
6,0,,
6,23,6500,
6,27,2500,
6,49,7500,
6,2,3250,
6,0,,
7,0,,
7,39,8750,
7,30,3250,
7,16,750,
7,41,6750,
7,0,,
8,0,,
8,31,8250,
8,24,6750,
8,28,3750,
8,0,,
9,0,,
9,13,6250,
9,37,5750,
9,34,1250,
9,10,2000,
9,19,4750,
9,0,,
10,0,,
10,43,8250,
10,20,100,
10,25,10000,
10,0,,
11,0,,
11,25,4250,
11,3,5500,
11,15,9750,
11,0,,
12,0,,
12,50,3500,
12,40,13500,
12,36,2000,
12,0,,
13,0,,
13,6,3250,
13,33,3250,
13,1,2500,
13,18,10000,
13,0,,
14,0,,
14,47,16900,
14,5,1500,
14,35,1500,
14,0,,
15,0,,
15,44,6500,
15,46,3500,
15,22,4750,
15,9,2000,
15,12,3250,
15,0,,
16,0,,
16,8,10000,
16,45,9500,
16,0,,
17,0,,
17,38,18750,
17,0,,
18,0,,
18,8,3750,
18,32,15000,
18,0,,
19,0,,
19,26,10000,
19,0,,
20,0,,
20,26,15800,
20,48,4000,
20,0,,
