truck,stop,offload,start
1,-1,,
1,42,13250,3:42
1,4,6750,21:29
1,-1,,
2,-1,,
2,49,7500,6:26
2,2,3250,13:54
2,4,8750,21:29
2,-1,,
3,-1,,
3,23,6500,6:20
3,41,6750,15:59
3,27,2500,20:02
3,28,3750,21:17
3,-1,,
4,0,,
4,5,1500,3:41
4,17,4000,18:35
4,47,14500,22:58
4,0,,
5,-1,,
5,47,20000,22:58
5,-1,,
6,-1,,
6,29,4000,9:20
6,7,750,12:15
6,20,100,18:06
6,14,4500,18:30
6,43,8250,21:56
6,47,2400,22:58
6,-1,,
7,0,,
7,29,10000,9:20
7,15,9750,12:36
7,0,,
8,-1,,
8,25,14250,10:56
8,3,5500,19:28
8,-1,,
9,-2,,
9,11,2500,9:18
9,10,2000,10:03
9,19,14750,15:33
9,18,750,17:07
9,-2,,
10,-2,,
10,1,2500,2:07
10,35,1500,9:29
10,34,1250,12:44
10,18,12500,17:07
10,33,2250,20:45
10,-2,,
11,-2,,
11,46,3500,6:43
11,37,5750,7:40
11,13,6250,8:15
11,9,2000,18:53
11,33,1000,20:45
11,-2,,
12,0,,
12,12,3250,4:59
12,6,3250,7:53
12,22,4750,16:58
12,39,8750,22:49
12,0,,
13,0,,
13,44,6500,14:35
13,32,13500,18:08
13,0,,
14,0,,
14,16,750,1:21
14,45,9500,9:57
14,30,3250,17:58
14,0,,
15,-1,,
15,21,10000,2:04
15,40,3250,2:34
15,24,6750,21:26
15,-1,,
16,-1,,
16,40,10250,2:34
16,31,8250,5:37
16,-1,,
17,0,,
17,50,3500,0:48
17,38,16500,17:25
17,0,,
18,0,,
18,26,11750,1:39
18,38,2250,17:25
18,48,4000,20:38
18,36,2000,21:09
18,0,,
19,0,,
19,26,11250,1:39
19,8,8750,6:41
19,0,,
20,0,,
20,26,2800,1:39
20,8,5000,6:41
20,32,1500,18:08
20,0,,
