truck,stop,offload,start
1,0,,
1,7,750,735
1,14,4500,1084
1,28,3750,1277
1,24,6750,1298
1,0,,
2,0,,
2,42,13250,222
2,23,6500,380
2,0,,
3,0,,
3,40,3500,154
3,31,8250,337
3,49,7500,393.37
3,0,,
4,0,,
4,6,3250,473
4,35,1500,569
4,32,15000,641
4,0,,
5,0,,
5,10,2000,603
5,19,4750,933
5,18,13250,1027
5,0,,
6,0,,
6,22,4750,1018
6,30,3250,1078
6,33,3250,1245
6,39,8750,1369
6,0,,
7,0,,
7,1,2500,127
7,12,3250,190
7,8,13750,401
7,0,,
8,0,,
8,16,750,80.03
8,27,2500,1202
8,4,15500,1289
8,0,,
9,0,,
9,50,3500,47.11
9,5,1500,221
9,29,14000,560
9,0,,
10,0,,
10,9,2000,1133
10,47,16900,1378
10,0,,
11,0,,
11,11,2500,558
11,34,1250,764
11,44,6500,875
11,38,8750,1045
11,0,,
12,0,,
12,46,3500,403
12,13,6250,487
12,45,9500,597
12,0,,
13,0,,
13,26,15800,99
13,17,4000,223
13,0,,
14,0,,
14,15,9750,756
14,19,10000,933
14,0,,
15,0,,
15,20,100,1086
15,3,5500,1168
15,48,4000,1238
15,36,2000,1269
15,43,8250,1316
15,0,,
16,0,,
16,2,3250,834
16,41,6750,959
16,38,10000,1045
16,0,,
17,0,,
17,47,20000,1378
17,0,,
18,0,,
18,37,5750,460
18,25,14250,656
18,0,,
19,0,,
19,26,10000,99
19,0,,
20,0,,
20,21,10000,124
20,40,10000,154
20,0,,
