truck,stop,offload,start
1,0,,
1,29,14000,9:20
1,36,2000,21:09
1,0,,
2,0,,
2,12,3250,4:59
2,45,9500,9:57
2,30,3250,17:58
2,48,4000,20:38
2,0,,
3,0,,
3,26,18000,1:39
3,9,2000,18:53
3,0,,
4,0,,
4,7,750,12:15
4,38,18750,17:25
4,0,,
5,0,,
5,50,3500,0:21
5,31,8250,5:37
5,43,8250,21:56
5,0,,
6,0,,
6,16,750,0:23
6,32,15000,18:08
6,28,3750,21:17
6,47,500,22:58
6,0,,
7,0,,
7,26,7800,1:39
7,47,6500,22:58
7,0,,
8,-1,,
8,49,7500,6:26
8,2,3250,13:54
8,41,6750,15:59
8,27,2500,20:02
8,-1,,
9,-1,,
9,40,13500,2:34
9,23,6500,6:20
9,-1,,
10,-1,,
10,14,4500,18:04
10,4,15500,21:29
10,-1,,
11,-1,,
11,25,14250,10:56
11,3,5500,19:28
11,-1,,
12,-1,,
12,21,10000,2:04
12,20,100,18:06
12,47,9900,22:58
12,-1,,
13,-1,,
13,42,13250,3:42
13,24,6750,21:26
13,-1,,
14,-2,,
14,10,2000,10:03
14,15,9750,12:36
14,34,1250,12:44
14,-2,,
15,-2,,
15,46,3500,6:43
15,18,13250,17:07
15,33,3250,20:45
15,-2,,
16,-2,,
16,1,2500,2:07
16,8,13750,6:41
16,6,3250,7:53
16,-2,,
17,-2,,
17,5,1500,3:41
17,37,5750,7:40
17,13,6250,8:07
17,11,2500,9:18
17,17,4000,18:35
17,-2,,
18,-2,,
18,44,6500,14:35
18,22,4750,16:58
18,39,8750,22:49
18,-2,,
19,-2,,
19,35,1500,9:29
19,19,14750,15:33
19,-2,,
20,-2,,
20,47,20000,22:58
20,-2,,
