truck,stop,offload,start
0,0,,
0,26,550,0:08
0,2,3250,3:07
0,4,15500,14:49
0,0,,
1,0,,
1,7,750,0:25
1,47,19250,13:24
1,0,,
2,0,,
2,12,3250,0:57
2,46,3500,5:34
2,9,2000,7:09
2,39,8750,19:19
2,0,,
3,0,,
3,8,13750,0:14
3,0,,
4,0,,
4,50,3500,0:47
4,40,13500,1:01
4,0,,
5,0,,
5,42,13250,1:53
5,3,5500,4:38
5,0,,
6,0,,
6,21,10000,1:22
6,49,7500,2:32
6,27,2500,6:42
6,0,,
7,0,,
7,35,1500,0:48
7,34,1250,10:05
7,18,13250,13:11
7,33,3250,17:37
7,0,,
8,0,,
8,6,3250,0:33
8,44,6500,8:06
8,32,8500,15:11
8,0,,
9,0,,
9,1,2500,0:56
9,37,5750,2:34
9,13,6250,8:15
9,22,4750,8:40
9,0,,
10,0,,
10,16,750,1:20
10,45,9500,1:52
10,30,3250,10:19
10,32,6500,18:44
10,0,,
11,0,,
11,26,2000,0:08
11,38,14000,2:06
11,48,4000,17:40
11,0,,
12,0,,
12,25,14250,1:18
12,20,100,11:20
12,47,5650,18:43
12,0,,
13,0,,
13,26,1250,0:08
13,31,8250,2:40
13,24,6750,5:59
13,28,3750,21:46
13,0,,
14,0,,
14,26,2000,0:08
14,15,9750,2:31
14,43,8250,13:01
14,0,,
15,0,,
15,5,1500,1:43
15,17,4000,3:53
15,47,12000,19:39
15,0,,
16,0,,
16,11,2500,1:14
16,10,2000,9:48
16,19,14750,10:32
16,0,,
17,0,,
17,23,6500,1:10
17,41,6750,6:38
17,38,4750,16:56
17,36,2000,17:39
17,0,,
18,0,,
18,29,14000,0:55
18,14,4500,9:42
18,0,,
19,0,,
19,26,20000,1:39
19,0,,
