truck,stop,offload,start
1,0,,
1,31,8250,
1,21,10000,
1,0,,
2,0,,
2,19,14750,
2,10,2000,
2,11,2500,
2,0,,
3,0,,
3,1,2500,
3,34,1250,
3,18,13250,
3,35,1500,
3,0,,
4,0,,
4,36,2000,
4,23,6500,
4,41,6750,
4,16,750,
4,30,3250,
4,0,,
5,0,,
5,48,4000,
5,38,16000,
5,0,,
6,0,,
6,8,13750,
6,26,5800,
6,0,,
7,0,,
7,15,9750,
7,43,8250,
7,0,,
8,0,,
8,7,750,
8,47,16900,
8,0,,
9,0,,
9,24,6750,
9,2,3250,
9,49,7500,
9,27,2500,
9,0,,
10,0,,
10,28,3750,
10,4,15500,
10,0,,
11,0,,
11,25,14250,
11,20,100,
11,5,1500,
11,17,4000,
11,0,,
12,0,,
12,45,9500,
12,39,8750,
12,0,,
13,0,,
13,29,14000,
13,14,4500,
13,0,,
14,0,,
14,6,3250,
14,44,6500,
14,37,5750,
14,33,3250,
14,0,,
15,0,,
15,32,15000,
15,0,,
16,0,,
16,47,20000,
16,0,,
17,0,,
17,26,20000,
17,0,,
18,0,,
18,12,3250,
18,9,2000,
18,13,6250,
18,22,4750,
18,46,3500,
18,0,,
19,0,,
19,50,3500,
19,40,13500,
19,38,2750,
19,0,,
20,0,,
20,42,13250,
20,3,5500,
20,0,,
