truck,stop,offload,start
1,0,,
1,42,13250,
1,4,6750,
1,0,,
2,0,,
2,2,3250,
2,49,7500,
2,4,8750,
2,0,,
3,0,,
3,28,3750,
3,23,6500,
3,41,6750,
3,27,2500,
3,0,,
4,0,,
4,17,4000,
4,5,1500,
4,47,14500,
4,0,,
5,0,,
5,47,20000,
5,0,,
6,0,,
6,47,2400,
6,14,4500,
6,7,750,
6,29,4000,
6,20,100,
6,43,8250,
6,0,,
7,0,,
7,29,10000,
7,15,9750,
7,0,,
8,0,,
8,3,5500,
8,25,14250,
8,0,,
9,0,,
9,10,2000,
9,19,14750,
9,11,2500,
9,18,750,
9,0,,
10,0,,
10,34,1250,
10,18,12500,
10,35,1500,
10,1,2500,
10,33,2250,
10,0,,
11,0,,
11,33,1000,
11,37,5750,
11,13,6250,
11,46,3500,
11,9,2000,
11,0,,
12,0,,
12,22,4750,
12,6,3250,
12,12,3250,
12,39,8750,
12,0,,
13,0,,
13,44,6500,
13,32,13500,
13,0,,
14,0,,
14,30,3250,
14,45,9500,
14,16,750,
14,0,,
15,0,,
15,40,3250,
15,24,6750,
15,21,10000,
15,0,,
16,0,,
16,31,8250,
16,40,10250,
16,0,,
17,0,,
17,38,16500,
17,50,3500,
17,0,,
18,0,,
18,26,11750,
18,48,4000,
18,36,2000,
18,38,2250,
18,0,,
19,0,,
19,26,11250,
19,8,8750,
19,0,,
20,0,,
20,26,2800,
20,8,5000,
20,32,1500,
20,0,,
