truck,stop,offload,start
0,0,,
0,27,2500,
0,49,7500,
0,2,3250,
0,24,6750,
0,0,,
1,0,,
1,15,9750,
1,21,10000,
1,0,,
2,0,,
2,3,5500,
2,31,8250,
2,26,5800,
2,0,,
3,0,,
3,47,14500,
3,17,4000,
3,5,1500,
3,0,,
4,0,,
4,44,6500,
4,37,5750,
4,33,3250,
4,0,,
5,0,,
5,38,13500,
5,36,2000,
5,48,4000,
5,0,,
6,0,,
6,43,6000,
6,29,14000,
6,0,,
7,0,,
7,38,3000,
7,40,13500,
7,50,3500,
7,0,,
8,0,,
8,16,750,
8,30,3250,
8,39,8750,
8,12,3250,
8,6,3250,
8,0,,
9,0,,
9,28,3750,
9,4,15500,
9,0,,
10,0,,
10,22,4750,
10,9,2000,
10,13,6250,
10,46,3500,
10,0,,
11,0,,
11,8,13750,
11,0,,
12,0,,
12,43,2250,
12,25,4500,
12,42,13250,
12,0,,
13,0,,
13,26,20000,
13,0,,
14,0,,
14,1,2500,
14,34,1250,
14,18,13250,
14,35,1500,
14,0,,
15,0,,
15,32,10500,
15,45,9500,
15,0,,
16,0,,
16,19,14750,
16,10,2000,
16,11,2500,
16,0,,
17,0,,
17,7,750,
17,14,4500,
17,47,12250,
17,0,,
18,0,,
18,25,9750,
18,20,100,
18,47,10150,
18,0,,
19,0,,
19,38,2250,
19,23,6500,
19,41,6750,
19,32,4500,
19,0,,
