truck,stop,offload,start
1,0,,
1,26,1800,
1,40,12000,
1,3,5500,
1,0,,
2,0,,
2,40,1500,
2,21,10000,
2,24,6750,
2,0,,
3,0,,
3,43,8000,
3,29,12000,
3,0,,
4,0,,
4,15,9750,
4,31,8250,
4,0,,
5,0,,
5,26,8000,
5,8,9750,
5,0,,
6,0,,
6,43,250,
6,29,2000,
6,20,100,
6,25,8000,
6,47,4000,
6,17,4000,
6,5,1500,
6,0,,
7,0,,
7,44,6500,
7,6,3250,
7,45,9500,
7,0,,
8,0,,
8,35,1500,
8,18,13250,
8,34,1250,
8,1,2500,
8,0,,
9,0,,
9,12,3250,
9,39,8750,
9,9,2000,
9,22,4750,
9,0,,
10,0,,
10,19,14750,
10,10,2000,
10,11,2500,
10,0,,
11,0,,
11,50,3500,
11,4,15500,
11,0,,
12,0,,
12,33,3250,
12,37,5750,
12,13,6250,
12,46,3500,
12,0,,
13,0,,
13,7,750,
13,47,16900,
13,14,500,
13,0,,
14,0,,
14,25,6250,
14,42,13250,
14,0,,
15,0,,
15,38,2750,
15,23,6500,
15,41,6750,
15,16,750,
15,30,3250,
15,0,,
16,0,,
16,14,4000,
16,47,16000,
16,0,,
17,0,,
17,36,2000,
17,27,2500,
17,49,7500,
17,2,3250,
17,28,3750,
17,0,,
18,0,,
18,26,16000,
18,0,,
19,0,,
19,48,4000,
19,38,16000,
19,0,,
20,0,,
20,8,4000,
20,32,15000,
20,0,,
