truck,stop,offload,start
1,0,,
1,45,9500,9:57
1,39,8750,22:49
1,0,,
2,0,,
2,8,1750,6:41
2,48,16000,20:38
2,36,2000,21:09
2,0,,
3,0,,
3,26,1800,1:39
3,7,4750,12:15
3,43,250,21:56
3,0,,
4,0,,
4,16,750,0:23
4,30,3250,17:58
4,32,4000,18:44
4,0,,
5,0,,
5,26,4000,1:39
5,0,,
6,0,,
6,5,1500,3:41
6,17,4000,18:35
6,47,900,22:58
6,0,,
7,0,,
7,38,4000,17:25
7,0,,
8,-2,,
8,35,1500,9:29
8,34,1250,12:44
8,18,4000,17:07
8,33,12500,20:45
8,-2,,
9,-2,,
9,46,3500,6:43
9,37,5750,7:40
9,6,3250,8:27
9,44,6500,14:35
9,-2,,
10,-2,,
10,11,2500,9:18
10,10,2000,10:03
10,19,2750,15:33
10,-2,,
11,-2,,
11,1,2500,2:07
11,12,3250,4:59
11,13,2250,8:07
11,22,8750,16:58
11,9,2000,18:53
11,-2,,
12,-1,,
12,42,1250,3:42
12,25,16000,10:56
12,-1,,
13,-1,,
13,31,8250,5:37
13,15,9750,12:36
13,-1,,
14,-1,,
14,2,3250,13:54
14,4,3500,21:29
14,-1,,
15,-1,,
15,25,4000,10:56
15,47,8000,22:58
15,-1,,
16,-1,,
16,40,4000,2:34
16,24,14750,21:26
16,-1,,
17,-1,,
17,21,10000,2:04
17,49,3500,6:26
17,27,6500,20:02
17,-1,,
18,-1,,
18,50,3500,0:21
18,14,500,18:04
18,47,8000,22:58
18,-1,,
19,-1,,
19,29,4000,9:20
19,20,10100,18:06
19,3,5500,19:28
19,-1,,
20,-1,,
20,40,1500,2:34
20,23,6500,6:20
20,41,6750,15:59
20,28,3750,21:17
20,-1,,
