truck,stop,offload,start
1,0,,
1,42,13250,3:42
1,3,5500,19:28
1,0,,
2,0,,
2,50,3500,0:21
2,4,15500,21:29
2,0,,
3,0,,
3,29,4000,9:20
3,7,750,12:15
3,14,4500,18:04
3,43,8250,21:56
3,0,,
4,0,,
4,12,3250,4:59
4,22,4750,16:58
4,9,2000,18:53
4,39,8750,22:49
4,0,,
5,0,,
5,16,750,0:23
5,45,9500,9:57
5,44,6500,14:35
5,30,3250,17:58
5,0,,
6,0,,
6,5,1500,3:41
6,25,14250,10:56
6,17,4000,18:35
6,0,,
7,0,,
7,11,2500,9:18
7,10,2000,10:03
7,19,14750,15:33
7,0,,
8,0,,
8,23,6500,6:20
8,41,6750,15:59
8,24,6750,21:26
8,0,,
9,0,,
9,26,20000,1:39
9,0,,
10,0,,
10,26,5800,1:39
10,8,13750,6:41
10,20,100,18:06
10,0,,
11,0,,
11,21,10000,2:04
11,2,3250,13:54
11,36,2000,21:09
11,28,3750,22:00
11,0,,
12,0,,
12,29,10000,9:20
12,15,9750,12:36
12,0,,
13,0,,
13,31,8250,5:37
13,49,7500,6:43
13,27,2500,20:02
13,0,,
14,0,,
14,6,3250,7:53
14,32,15000,18:08
14,0,,
15,0,,
15,1,2500,2:07
15,35,1500,9:29
15,34,1250,12:44
15,18,13250,17:07
15,0,,
16,0,,
16,38,18750,17:25
16,0,,
17,0,,
17,40,13500,2:34
17,48,4000,20:38
17,0,,
18,0,,
18,46,3500,6:43
18,37,5750,7:40
18,13,6250,8:15
18,33,3250,20:45
18,0,,
19,0,,
19,47,16900,22:58
19,0,,
20,0,,
20,47,20000,22:58
20,0,,
