truck,stop,offload,start
2,0,,
2,26,6250,0:08
2,5,1500,3:33
2,17,4000,3:53
2,43,8250,20:17
2,0,,
3,0,,
3,16,750,1:20
3,45,9500,1:52
3,30,3250,10:19
3,32,4750,18:44
3,0,,
4,0,,
4,6,3250,0:33
4,44,6500,8:06
4,32,10250,15:11
4,0,,
5,0,,
5,29,14000,0:55
5,14,4500,9:42
5,0,,
6,0,,
6,8,13750,0:14
6,48,4000,7:05
6,36,2000,20:45
6,0,,
7,0,,
7,26,19550,0:08
7,0,,
9,0,,
9,7,750,0:25
9,47,19250,13:24
9,0,,
15,0,,
15,38,18750,0:29
15,0,,
0,-1,,
0,49,7500,0:48
0,2,3250,6:39
0,24,6750,14:32
0,-1,,
10,-1,,
10,25,14250,0:32
10,3,5500,11:28
10,-1,,
11,-1,,
11,23,6500,0:52
11,41,6750,6:38
11,27,2500,16:41
11,28,3750,20:29
11,-1,,
13,-1,,
13,50,3500,0:24
13,40,13500,0:39
13,-1,,
14,-1,,
14,31,8250,0:08
14,15,9750,5:53
14,-1,,
17,-1,,
17,42,13250,0:49
17,4,6750,4:26
17,-1,,
18,-1,,
18,21,10000,0:23
18,4,8750,2:47
18,-1,,
19,-1,,
19,20,100,0:46
19,47,17650,18:43
19,-1,,
1,-2,,
1,1,2500,0:21
1,35,1500,2:40
1,18,12750,9:46
1,33,3250,17:37
1,-2,,
8,-2,,
8,46,3500,0:25
8,37,5750,7:04
8,13,6250,8:15
8,34,1250,9:17
8,-2,,
12,-2,,
12,12,3250,0:52
12,22,4750,5:28
12,9,2000,17:13
12,39,8750,19:19
12,-2,,
16,-2,,
16,11,2500,0:40
16,10,2000,9:48
16,19,14750,10:32
16,18,500,16:04
16,-2,,
